,Star_name,Constellation,Distance,Mass,Radius
134,SDSS J141659.78+500626.4 [de],Boötes,149,0.056320692,0.10173537
135,DENIS-P J142527.97-365023.4 [de],Centaurus,38,0.020046348,0.13564716
136,LHS 2924,Boötes,38.5,0.072548688,0.10892878
137,2MASS J14392837+1929150,,47,0.068730336,0.10584589
138,LSPM J1440+1339,,72,0.087822096,0.12228797
139,2MASS J14482563+1031590 [de],Boötes,47,0.056320692,0.10173537
140,CFBDSIR 1458+10A,Boötes,104,0.010595927,0.1541445
141,CFBDSIR 1458+10B,Boötes,104,0.008591292,0.1335919
142,TVLM 513-46546,Boötes,35.1,0.0715941,0.10790115
143,2MASS 1503+2525,Boötes,20.7,0.042001872,0.09659722
144,CFBDS J150411+102717,,71,0.042001872,0.09659722
145,2MASSW J1506544+132106 [de],Boötes,46,0.065866572,0.10481826
146,2MASS 1507−1627,Libra,23.9,0.05727528,0.10173537
147,TVLM 868-110639,,53,0.075412452,0.11098404
148,SDSS J151114.66+060742.9 [de],Serpens,89,,
149,2MASSW J1515008+484742 [de],Boötes,34,0.054411516,0.10173537
150,2MASSI J1526140+204341 [de],Serpens,67,0.051547752,0.10070774
151,DENIS-P J153941.96-052042.4 [de],Libra,51,0.060139044,0.102763
152,2MASS J15462718-3325111 [de],Lupus,37,0.042001872,0.09659722
153,2MASSW J1552591+294849 [de],Corona Borealis,68,0.02863764,0.14695109
154,2MASSW J1555157-095605 [de],Libra,44,0.067775748,0.10584589
155,2MASS J16150413+1340079 [de],Hercules,48,0.040092696,0.09659722
156,SDSSp J162414.37+002915.6 [de],Serpens,36,0.041047284,0.09659722
157,2MASS J16262034+3925190 [de],Hercules,110,0.067775748,0.10584589
158,2MASSW J1632291+190441 [de],Hercules,50,0.046774812,0.09968011
159,WISEPA J164715.59+563208.2,,28,0.039138108,0.09659722
160,LSPM J1658+7027 [de],Draco,60,0.069684924,0.10687352
161,2MASSI J1726000+153819,,114,0.022910112,0.1438682
162,2MASSW J1728114+394859,,79,,
163,SDSSp J175032.96+175903.9,,90,0.044865636,0.09968011
164,2MASS J18283572-4849046,,39,0.04295646,0.09762485
165,LSR J1835+3259,Lyra,18.5,0.073503276,0.10995641
166,2MASSW J1841086+311727,,138,0.063957396,0.10379063
167,2MASS J18432213+4040209,,46,0.091640448,0.12537086
168,2MASS J20004841-7523070,,105,0.0238647,0.19319444
169,SDSS J204749.61-071818.3,,65,0.043911048,0.09865248
170,2MASSI J2057540-025230,,47,0.06682116,0.10481826
171,2MASSW J2101154+175658,,108,,
172,2MASSI J2104149-103736,,62,0.065866572,0.10481826
173,PSO J318.5−22,Capricornus,80,0.006204822,0.15722739
174,HB 2124-4228,,113,0.089731272,0.12434323
175,2MASS J21392676+0220226,Aquarius,32.1,0.043911048,0.09865248
176,2MASS J21481628+4003593,,26.3,0.05250234,0.10173537
177,2MASS J14112131-2119503,,,,
178,2MASSW J2206450-421721,,93,0.021000936,0.13667479
179,2MASSW J2208136+292121,,154,0.025773876,0.14489583
180,2MASSW J2224438-015852,,38,0.058229868,0.10173537
181,2MASS J22282889-4310262,Grus,35,0.040092696,0.09659722
182,2MASS J22373255+3922398,,64,0.069684924,0.10687352
183,2MASSW J2244316+204343,,56,0.011455056,0.13256427
184,2MASS J23224684-3133231,,56,0.022910112,0.14284057
185,2MASS J23225299-6151275,,148,0.016227996,0.16339317
186,2MASS J23515044-2537367,,67,0.084003744,0.11920508
187,2MASSI J2356547-155310,,74,0.07636704,0.11201167
188,WISE 0005+3737,Andromeda,23.2,,
189,WISE 0008-1739,Cetus,87.1,,
190,WISE 0015-4615,Phoenix,48.6,,
191,WISE 0031-3840,Sculptor,71.8,,
192,WISE 0032-4946,Phoenix,62.9,,
193,WISE 0038+2758,Andromeda,36.9,,
194,WISE 0038+8405,Cepheus,101.8,,
195,WISE 0040+0900,Pisces,47.6,,
196,WISE 0049+0441,Pisces,62.6,,
197,WISE 0049+2151,Andromeda,24.1,,
198,WISE 0106+1518,Pisces,142.9,,
199,WISE 0123+4142,Andromeda,67.2,,
200,WISE 0135+1715,Pisces,77.3,,
201,WISE 0138-0322,Cetus,57.7,,
202,WISE 0146+4234,Andromeda,20.5,,
203,WISE 0148-7202,Hydrus,30,,
204,WISE 0150+3827,Andromeda,61.3,,
205,WISE 0206+2640,Aries,58.4,,
206,WISE 0221+3842,Andromeda,73.1,,
207,WISE 0223-2932,Fornax,47,,
208,WISE 0226-0211,Cetus,91,,
209,WISE 0241-3653,Fornax,53.8,,
210,WISE 0245-3450,Fornax,56.1,,
211,WISE 0247+3725,Perseus,57.1,,
212,WISE 0305+3954,Perseus,75,,
213,WISE 0307+2904,Aries,82.8,,
214,WISE 0313+7807,Cepheus,28,,
215,WISE 0316+4307,Perseus,106.3,,
216,WISE 0321-7347,Hydrus,84.8,,
217,WISE 0323-6025,Reticulum,45.3,,
218,WISE 0325-3854,Fornax,51.2,,
219,WISE 0325+0831,Taurus,36.5,,
220,WISE 0333-5856,Reticulum,54.8,,
221,WISE 0335+4310,Perseus,45.7,,
222,WISE 0336-0143,Eridanus,55.4,,
223,WISE 0350-5658,Reticulum,17.7,,
224,WISE 0359-5401,Reticulum,19.2,,
225,WISE 0410+1502,Taurus,20,0.005727528,0.12023271
226,WISE 0410+1411,Taurus,85.8,,
227,WISE 0413-4750,Horologium,66.2,,
228,WISE 0448-1935,Eridanus,69.8,,
229,WISE 0458+6434A,Camelopardalis,35.9,0.01431882,0.4316046
230,WISE 0458+6434B,Camelopardalis,35.9,0.00954588,0.3904994
231,WISE 0500-1223,Eridanus,47,,
232,WISE 0513+0608,Orion,44.7,,
233,WISE 0525+6739,Camelopardalis,98.2,,
234,WISE 0528-3308,Columba,57.4,,
235,WISE 0535-7500,Mensa,47,,
236,WISE 0539-1034,Orion,84.8,,
237,WISE 0542-1628,Lepus,50.6,,
238,WISE 0607+2429,Gemini,25.4,,
239,WISE 0611-0410,Monoceros,57.7,,
240,WISE 0612-4920,Puppis,95.2,,
241,WISE 0612-3036,Canis Major,64.9,,
242,WISE 0614+3912,Auriga,50.2,,
243,WISE 0614+0951,Orion,51.5,,
244,WISE 0623-0456,Monoceros,37.5,,
245,WISE 0625+5646,Lynx,67.2,,
246,WISE 0627-1114,Canis Major,37.2,,
247,WISE 0647-6232,Pictor,28,,
248,WISE 0656+4205,Auriga,54.1,,
249,WISE 0713-2917,Canis Major,23.2,,
250,WISE 0723+3403,Gemini,45.7,,
251,WISE 0733+7544,Camelopardalis,78.3,,
252,WISE 0734-7157,Volans,34.9,,
253,WISE 0744+5628,Lynx,47.3,,
254,WISE 0750+2725,Gemini,51.5,,
255,WISE 0751-7634,Chamaeleon,39.1,,
256,WISE 0759-4904,Puppis,38.8,,
257,WISE 0811-8051,Chamaeleon,32,,
258,WISE 0812+4021,Lynx,63.6,,
259,WISE 0819-0335,Hydra,46,,
260,WISE 0821+1443,Ursa Major,68.2,,
261,WISE 0836-1859,Pyxis,72.4,,
262,WISE 0857+5604,Ursa Major,42.1,,
263,WISE 0906+4735,Ursa Major,51.5,,
264,WISE 0929+0409,Hydra,64.9,,
265,WISE 0952+1955,Leo,72.1,,
266,WISE 1018-2445,Hydra,47.6,,
267,WISE 1019+6529,Ursa Major,56.8,,
268,WISE 1039-1600,Hydra,47.3,,
269,WISE 1042-3842,Antlia,53.2,,
270,WISE 1051-2138,Hydra,40.8,,
271,WISE 1122+2550,Leo,57.7,,
272,WISE 1124-0421,Leo,50.6,,
273,WISE 1147-2040,Hydra,102,,
274,WISE 1150+6302,Ursa Major,32.9,,
275,WISE 1217+1626A,Coma Berenices,34.2,0.011455056,
276,WISE 1217+1626B,Coma Berenices,34.2,0.005727528,
277,WISE 1225-1013,Virgo,55.4,,
278,WISE 1311+0122,Virgo,44.4,,
279,WISE 1311+3629,Canes Venatici,86.1,,
280,WISE 1318-1758,Virgo,32.9,,
281,WISE 1320+6034,Ursa Major,56.1,,
282,WISE 1322-2340,Hydra,33.9,,
283,WISE 1348+6603,Draco,91,,
284,WISE 1405+5534,Ursa Major,25.3,0.02863764,0.08837618
285,WISE 1433-0837,Libra,84.8,,
286,WISE 1436-1814,Libra,60,,
287,WISE 1457+5815,Draco,52.2,,
288,WISE 1506+7027,Ursa Minor,11.1,,
289,WISE 1517+0529,Serpens,72.4,,
290,WISE 1519+7009,Ursa Minor,50.9,,
291,WISE 1523+3125,Corona Borealis,84.5,,
292,WISE 1541-2250,Libra,20,,
293,WISE 1542+2230,Serpens,41.1,,
294,WISE 1612-3420,Scorpius,55.4,,
295,WISE 1614+1739,Hercules,32.6,,
296,WISE 1617+1807,Hercules,50.2,,
297,WISE 1622-0959,Scorpius,52.2,,
298,WISE 1627+3255,Hercules,50.2,,
299,WISE 1639-6847,Triangulum Australe,16.3,,
300,WISE 1647+5632,Draco,28,,
301,WISE 1653+4444,Hercules,39.5,,
302,WISE 1711+3500,Hercules,60.3,,
303,WISE 1717+6129,Draco,72.7,,
304,WISE 1721+1117,Ophiuchus,62.3,,
305,WISE 1728+5716,Draco,97.8,,
306,WISE 1738+2732,Hercules,20,,
307,WISE 1741+2553,Hercules,18.9,,
308,WISE 1746-0338,Ophiuchus,83.8,,
309,WISE 1800+0134,Ophiuchus,28.7,0.054411516,
310,WISE 1804+3117,Hercules,30,,
311,WISE 1809+3838,Hercules,74.4,,
312,WISE 1812+2721,Hercules,47,,
313,WISE 1828+2650,Lyra,36,,
